   Player_Details,Weight,Age,Salary
Avery Bradley Boston Celtics Texas PG,180,25,7730337
Jae Crowder Boston Celtics Marquette SF,235,25,6796117
John Holland Boston Celtics Boston University SG,205,27,70000
R.J. Hunter Boston Celtics Georgia State SG,185,22,1148640
Jonas Jerebko Boston Celtics  PF,231,29,5000000
Amir Johnson Boston Celtics  PF,240,29,12000000
Jordan Mickey Boston Celtics LSU PF,235,21,1170960
Kelly Olynyk Boston Celtics Gonzaga C,238,25,2165160
Terry Rozier Boston Celtics Louisville PG,190,22,1824360
Marcus Smart Boston Celtics Oklahoma State PG,220,22,3431040
Jared Sullinger Boston Celtics Ohio State C,260,24,2569260
Isaiah Thomas Boston Celtics Washington PG,185,27,6912869
Evan Turner Boston Celtics Ohio State SG,220,27,3425510
James Young Boston Celtics Kentucky SG,215,20,1749840
Tyler Zeller Boston Celtics North Carolina C,253,26,2616975
Bojan Bogdanovic Brooklyn Nets  SG,216,27,3425510
Markel Brown Brooklyn Nets Oklahoma State SG,190,24,845059
Wayne Ellington Brooklyn Nets North Carolina SG,200,28,1500000
Rondae Hollis-Jefferson Brooklyn Nets Arizona SG,220,21,1335480
Jarrett Jack Brooklyn Nets Georgia Tech PG,200,32,6300000
Sergey Karasev Brooklyn Nets  SG,208,22,1599840
Sean Kilpatrick Brooklyn Nets Cincinnati SG,219,26,134215
Shane Larkin Brooklyn Nets Miami (FL) PG,175,23,1500000
Brook Lopez Brooklyn Nets Stanford C,275,28,19689000
Chris McCullough Brooklyn Nets Syracuse PF,200,21,1140240
Willie Reed Brooklyn Nets Saint Louis PF,220,26,947276
Thomas Robinson Brooklyn Nets Kansas PF,237,25,981348
Henry Sims Brooklyn Nets Georgetown C,248,26,947276
Donald Sloan Brooklyn Nets Texas A&M PG,205,28,947276
Thaddeus Young Brooklyn Nets Georgia Tech PF,221,27,11235955
Arron Afflalo New York Knicks UCLA SG,210,30,8000000
Lou Amundson New York Knicks UNLV PF,220,33,1635476
Thanasis Antetokounmpo New York Knicks  SF,205,23,30888
Carmelo Anthony New York Knicks Syracuse SF,240,32,22875000
